CreatedDate,CreatedTime,Symbol,Type,Volume,Price,Side,CallPut,Strike,Spot,Premium,ExpirationDate,Color,ImpliedVolatility,Dte,ER,StockEtf,Sector,Uoa,Weekly,MktCap,OI
6/22/2021,09:32:12,COIN,SWEEP,260,10,A,CALL,225,215.0107,260000,7/30/2021,YELLOW,0.5,38,F,STOCK,Information Technology,F,F,31562000000,28
6/22/2021,09:32:17,AMD,BLOCK,153,1.2,A,CALL,85,83.375,18360,07-02-2021,WHITE,0.34,10,F,STOCK,Information Technology,F,F,1.00E+11,5658
6/22/2021,09:32:21,ROKU,SWEEP,106,6.898,AA,CALL,400,389.205,73120,6/25/2021,WHITE,0.8,3,F,STOCK,Communication Services,F,T,50673000000,6532
6/22/2021,09:32:21,AAPL,BLOCK,674,0.17,A,CALL,136,132.5979,11458,6/25/2021,WHITE,0.24,3,F,STOCK,Information Technology,F,T,2.21E+12,16595
6/22/2021,09:32:32,AAPL,SWEEP,253,0.97,A,CALL,133,132.4,24541,6/25/2021,WHITE,0.26,3,F,STOCK,Information Technology,F,T,2.21E+12,35850
6/22/2021,09:32:35,F,SWEEP,680,0.6,A,CALL,15,15.005,40800,7/16/2021,WHITE,0.38,24,F,STOCK,Consumer Discretionary,F,F,58996000000,49455
6/22/2021,09:32:35,AMD,SWEEP,500,0.57,A,CALL,85,83.17,28500,6/25/2021,WHITE,0.42,3,F,STOCK,Information Technology,F,T,1.00E+11,19658
6/22/2021,09:32:38,TSLA,BLOCK,100,1.09,A,PUT,200,621.1365,10900,9/17/2021,WHITE,1.1,87,F,STOCK,Consumer Discretionary,F,F,5.98E+11,9790
6/22/2021,09:32:45,WISH,SWEEP,198,2.15,A,CALL,15,13.7095,42570,7/16/2021,WHITE,1.88,24,F,STOCK,Consumer Discretionary,F,F,7916000000,44691
6/22/2021,09:32:51,GME,BLOCK,323,0.95,A,PUT,160,216.35,30685,6/25/2021,WHITE,2.15,3,F,STOCK,Consumer Discretionary,F,T,14390000000,1362
6/22/2021,09:32:56,WISH,SWEEP,301,1.299,AA,CALL,14,13.52,39105,6/25/2021,WHITE,3.07,3,F,STOCK,Consumer Discretionary,F,T,7916000000,15178
6/22/2021,09:32:57,WFC,SWEEP,440,0.52,A,CALL,46,43.24,22880,7/16/2021,YELLOW,0.32,24,F,STOCK,Financials,F,F,1.79E+11,150
6/22/2021,09:33:01,ROKU,SWEEP,123,16.002,AA,CALL,380,390.81,196824,6/25/2021,WHITE,0.69,3,F,STOCK,Communication Services,F,T,50673000000,2794
6/22/2021,09:33:01,CLOV,SWEEP,500,0.55,A,CALL,20,12.18,27500,7/16/2021,WHITE,1.84,24,F,STOCK,Health Care,F,F,4587000000,20234
6/22/2021,09:33:06,AAPL,SWEEP,195,0.988,AA,CALL,133,132.52,19272,6/25/2021,WHITE,0.25,3,F,STOCK,Information Technology,F,T,2.21E+12,35850
6/22/2021,09:33:08,AMD,SWEEP,362,0.578,AA,CALL,85,83.12,20925,6/25/2021,WHITE,0.43,3,F,STOCK,Information Technology,F,T,1.00E+11,19658
6/22/2021,09:33:10,AAL,BLOCK,247,0.89,A,PUT,22,22.17,21983,7/16/2021,WHITE,0.44,24,F,STOCK,Industrials,F,F,14398000000,21391
6/22/2021,09:33:12,CLOV,BLOCK,206,0.6,A,CALL,13,12.33,12360,6/25/2021,WHITE,1.95,3,F,STOCK,Health Care,F,T,4587000000,5045
6/22/2021,09:33:13,CLOV,SWEEP,191,0.749,A,CALL,12.5,12.35,14315,6/25/2021,WHITE,1.83,3,F,STOCK,Health Care,F,T,4587000000,2570
6/22/2021,09:33:13,SOFI,SWEEP,913,2.56,A,PUT,22.5,22.49,233728,7/16/2021,WHITE,1.13,24,F,STOCK,None,F,F,17999000000,2516
6/22/2021,09:33:17,AMD,SWEEP,172,0.55,A,CALL,85,83.14,9460,6/25/2021,WHITE,0.41,3,F,STOCK,Information Technology,F,T,1.00E+11,19658
6/22/2021,09:33:20,CLOV,SWEEP,301,0.45,A,CALL,14,12.39,13531,6/25/2021,WHITE,2.24,3,F,STOCK,Health Care,F,T,4587000000,2965
6/22/2021,09:33:23,AMC,BLOCK,192,4.2,A,PUT,51,53.195,80640,6/25/2021,WHITE,2.78,3,F,STOCK,Communication Services,F,T,27959000000,2621
6/22/2021,09:33:23,BIDU,BLOCK,169,1.63,A,CALL,200,185.68,27547,7/16/2021,WHITE,0.32,24,F,STOCK,Information Technology,F,F,64825000000,17599
